Class,Prob
3110035E14Rik_class,0.004064706626064157
6330403K07Rik_class,2.783188969738956e-09
Adgrl2_class,2.783188969738956e-09
Aldoc_class,0.07554647403673558
Arpp21_class,2.783188969738956e-09
Bcl11b_class,2.783188969738956e-09
Cadps2_class,2.783188969738956e-09
Calb1_class,2.783188969738956e-09
Calb2_class,2.783188969738956e-09
Cck_class,0.00473212411010894
Cdh13_class,2.783188969738956e-09
Chodl_class,2.783188969738956e-09
Chrm2_class,2.783188969738956e-09
Cnr1_class,2.783188969738956e-09
Col25a1_class,2.783188969738956e-09
Cort_class,2.783188969738956e-09
Cox6a2_class,2.783188969738956e-09
Cplx2_class,0.009692702933225416
Cpne5_class,2.783188969738956e-09
Crh_class,2.783188969738956e-09
Crhbp_class,2.783188969738956e-09
Cryab_class,2.783188969738956e-09
Crym_class,2.783188969738956e-09
Cux2_class,2.783188969738956e-09
Cxcl14_class,2.783188969738956e-09
Enc1_class,0.009835794940975561
Enpp2_class,2.783188969738956e-09
Fam19a1_class,2.783188969738956e-09
Fos_class,2.783188969738956e-09
Gabrd_class,2.783188969738956e-09
Gad1_class,0.004457591679525757
Gda_class,2.783188969738956e-09
Grin3a_class,2.783188969738956e-09
Hapln1_class,2.783188969738956e-09
Htr3a_class,2.783188969738956e-09
Id2_class,0.007236119338034148
Kcnk2_class,2.783188969738956e-09
Kctd12_class,2.783188969738956e-09
Kit_class,2.783188969738956e-09
Lamp5_class,2.783188969738956e-09
Lhx6_class,2.783188969738956e-09
Ndnf_class,0.005270999690039093
Neurod6_class,0.009117454345260397
Nos1_class,2.783188969738956e-09
Nov_class,2.783188969738956e-09
Npy2r_class,2.783188969738956e-09
Npy_class,0.0044695476993769035
Nr4a2_class,2.783188969738956e-09
Nrn1_class,2.783188969738956e-09
Nrsn1_class,2.783188969738956e-09
Ntng1_class,2.783188969738956e-09
Pax6_class,2.783188969738956e-09
Pcp4_class,0.0019609263872248568
Pde1a_class,0.0030646139539189762
Penk_class,2.783188969738956e-09
Plcxd2_class,2.783188969738956e-09
Plp1_class,0.10770709830501089
Pnoc_class,2.783188969738956e-09
Prkca_class,0.22557093394975927
Pthlh_class,2.783188969738956e-09
Pvalb_class,0.009996443891085614
Pvrl3_class,2.783188969738956e-09
Qrfpr_class,2.783188969738956e-09
Rab3c_class,2.783188969738956e-09
Rasgrf2_class,2.783188969738956e-09
Rbp4_class,2.783188969738956e-09
Reln_class,0.014817089222232497
Rgs10_class,2.783188969738956e-09
Rgs12_class,2.783188969738956e-09
Rgs4_class,0.018235516196870406
Rorb_class,2.783188969738956e-09
Rprm_class,2.783188969738956e-09
Satb1_class,2.783188969738956e-09
Scg2_class,2.783188969738956e-09
Sema3c_class,2.783188969738956e-09
Serpini1_class,2.783188969738956e-09
Slc17a8_class,2.783188969738956e-09
Slc6a1_class,2.783188969738956e-09
Snca_class,2.783188969738956e-09
Sncg_class,2.783188969738956e-09
Sst_class,0.011141975996258427
Sulf2_class,2.783188969738956e-09
Synpr_class,2.783188969738956e-09
Tac1_class,2.783188969738956e-09
Tac2_class,2.783188969738956e-09
Th_class,2.783188969738956e-09
Thsd7a_class,2.783188969738956e-09
Trp53i11_class,2.783188969738956e-09
Vip_class,2.783188969738956e-09
Wfs1_class,0.03844174026721709
Yjefn3_class,2.783188969738956e-09
Zcchc12_class,2.783188969738956e-09
Zero,0.4346399432582814
